Country,Detailed Locations,Began,Ended,Duration,Dead,Displaced,Damage (USD),Main cause,Severity,Affected_Area,Magnitude,Longitude,Latitude
Indonesia,"Java- Puring, Brayan and Wayah areas in the Central Java district of Kebumen. Banyuwangi and Jember in East Java.",17-Oct-01,27-Oct-01,11,20,18000,,Heavy rain,1,2095.07,4.4,109.763,-7.59454
UK,"East Anglia - Cambridgeshire, Essex and Kent counties. Towns: Cambridge, Waterbeach, Braintree, Bourn, Colchester, Tyneside. Haverhill area of west Suffolk. Rivers: Cam, Colne, Roman, Stour.",21-Oct-01,23-Oct-01,3,0,0,,Brief torrential rain,2,5678.73,4.5,0.482377,52.0555
Vietnam,"Central region of the country from Thua Thien-Hue province to Khanh Hoa province. Provinces - Quang Nam, Nghe An, Quang Tri, Quang Ngai, Phu Yen. ""Central River Systems"" town of Hoi An. Da Nang.",20-Oct-01,24-Oct-01,5,39,0,"4,700,000",Brief torrential rain,1,72024.14,5.6,108.217,14.4472
France,"Drome and Upper Loire regions. Towns: Loriol, communities near the city of Valence. Loire river",20-Oct-01,21-Oct-01,2,2,300,,Heavy rain,1,3857.12,3.9,4.93584,44.9617
Bangladesh,"SatkhiraDistrict - Protapnagar, Chuibaria, Baiyarbil, Dighlarati and Chakla villages under Protapnagar union parishad in Assasuni upazila and Padmapukur, Pakhimari, Gorkumarper, Banyatala, Khutikata, Sonakhali, Baintala, Kedar Bazar, Chaulkhola and Chandipur. Kapatakha river",17-Oct-01,19-Oct-01,3,0,1200,,"Dam/Levy, break or release",1,900.151,3.4,89.1688,22.6475
USA,"Illinois and Indiana - Rivers:Wabash, White.",15-Oct-01,19-Oct-01,5,0,0,,Heavy rain,1,17273.71,4.9,-87.3397,38.9667
India,"Andhra Pradesh State -Districts: Cuddpah, Kurnool, Guntur, Nellore, Chittoor, Anantapur. town of Panyam. Gundalakamma River. Inflows into Somasila and Buggavanka reservoirs were breached.",16-Oct-01,21-Oct-01,6,143,50000,,Heavy rain,1,87384.5,5.7,79.054,14.8405
Argentina,"Argentina - Pampas. Provinces of Buenos Aires, La Pampa, Cordoba and Santa Fe. Salado River and tributaries. General Villegas district. Uruguay - Soriano, Durazno, and Canelones departments. city of Treinta y Tres. Olimar river.",01-Oct-01,01-Dec-01,62,2,14500,"1,500,000,000",Heavy rain,2,627890.77,7.9,-61.2148,-32.8972
North Korea,"Provinces: Kamvon Du, Kangwon, Hamkyong. Wonsan city",09-Oct-01,11-Oct-01,3,81,60000,,Brief torrential rain,1,13148.97,4.6,127.109,39.7238
Philippines,Mindanao Island - Zamboanga city,10-Oct-01,10-Oct-01,1,4,300,,Brief torrential rain,1,187.985,2.3,122.076,6.96054
Indonesia ,"South Coast of Central Java- Regencies: Cilacap, Brebes and Banyumas",08-Oct-01,09-Oct-01,2,0,4000,,Heavy rain,1,2257.22,3.7,109.305,-7.52386
France,Gard Region.Brignon village.,07-Oct-01,07-Oct-01,1,2,0,,Brief torrential rain,1,4136.26,3.6,4.37317,43.9695
Nepal,Terai region - Saptari and Itahari districts,05-Oct-01,07-Oct-01,3,2,800,"260,000",Tropical cyclone,1,8297.09,4.4,87.1208,26.6674
Iran,Caspian Sea provinces: Mazandaran and Gilan. Ramsar city.,01-Oct-01,02-Oct-01,2,0,3000,,Brief torrential rain,1,27363.34,4.7,54.3165,37.0335
India,"Andhra Pradesh state - Districts: Nalgonda, Guntur, Mahabubnagar. Telangana. ",30-Sep-01,02-Oct-01,3,12,9000,,Brief torrential rain,1,44526.51,5.1,79.1214,16.746
Brazil,"States:Santa Catarina (45 cities were declared under a state of emergency), Rio Grande do Sul, Sao Paulo, Parana. Cities: Campinas, Curitiba.",29-Sep-01,04-Oct-01,6,13,12000,,Brief torrential rain,1,619667.96,6.6,-51.1099,-26.202
Rwanda,"Gikongoro province - Districts: Mushumbi, Nshili",22-Sep-01,22-Sep-01,1,10,0,,Brief torrential rain,1,1769.07,3.2,29.6461,-2.59236
Phillipines,"Luzon Island - Cagayan province. Towns: Carasi, Solsona, Pasuquin, Laoag City. Rivers: Sinaligan,Padsan",24-Sep-01,25-Sep-01,2,1,0,,Heavy rain,1,6000.64,4.1,121.539,18.1538
Mexico,"States: Sonora, Baja, Guerrero, Michoacan, Oaxaca, Colima and Jalisco. Cabo San Lucas",24-Sep-01,02-Oct-01,9,3,38000,,Tropical cyclone,1,35716.61,5.5,-102.052,18.0925
Iran,Mazandaran Province -,19-Sep-01,20-Sep-01,2,1,800,,Brief torrential rain,1,10285.01,4.3,54.98,37.3785
China,"SichuanProvince - cities: Jinyang,, Deyang, Mianyang",19-Sep-01,22-Sep-01,4,25,100000,"240,000,000",Brief torrential rain,1,14700.46,4.8,104.595,31.0389
Nicaragua,"Southern Mexico- Chiapas State: Towns: Cacahoatan, Rio Coatan, Chanhjale El Salvador - Acelhuate River in San Salvador city",18-Sep-01,21-Sep-01,4,4,800,,Brief torrential rain,1,7805.62,4.5,-92.607,15.2301
